scope,horizon,specification,sample_count,coverage,balanced_accuracy,macro_f1,down_precision,down_recall,mean_return_predicted_down,mean_return_predicted_neutral,mean_return_predicted_up
all,5,boosted_full_context,76747,1.0,0.37462395630188183,0.3607391803519245,0.36618270061284086,0.31200280357455756,0.008216125977025195,0.0024648665341792356,0.002450889972490301
all,5,full_context,76747,1.0,0.34593619289255395,0.3467051464964998,0.35620846239437043,0.4151042579288593,0.008323202681605319,0.0010089738347315812,0.0012355528306645246
all,5,majority_baseline,76747,1.0,0.3333333333333333,0.20199378191912862,0.0,0.0,,,0.004281430387023256
all,5,ridge_baseline,76747,1.0,0.32726650305056065,0.311165602533514,0.33414905450500554,0.26318556159102857,0.007274594093161597,0.005028858010635877,0.000730044126475486
all,5,stock_only,76747,1.0,0.36028992212207855,0.3582325978512688,0.35999639553045776,0.42001051340459084,0.007483698871620347,0.0017502753482402402,0.0018702476675983941
all,5,stock_qqq,76747,1.0,0.34445472490170265,0.34496783200233755,0.3544246723578213,0.4132118451025057,0.008595612675122023,0.001292676774282889,0.0009101840140380204
all,5,stock_qqq_early,76747,1.0,0.3445777322538907,0.34494462030200196,0.35487164089476053,0.414193096197652,0.008504750262826672,0.0011848101262368293,0.00101199859020424
all,20,boosted_full_context,73837,1.0,0.3528292049317141,0.3395727383182887,0.3230914588057445,0.32436636818940656,0.030654117749673117,0.012881452863858953,0.015357451723350594
all,20,full_context,73837,1.0,0.32184376245008806,0.32441859825612585,0.2979803357824868,0.31852329640309607,0.030832559714072397,0.015665275391079307,0.013085038437717432
all,20,majority_baseline,73837,1.0,0.3333333333333333,0.2109206948803649,0.0,0.0,,,0.02016888764100481
all,20,ridge_baseline,73837,1.0,0.3065506749618161,0.30071225636234306,0.2645569620253165,0.20617696160267113,0.03288602366115121,0.021569086154224835,0.012520064140027798
all,20,stock_only,73837,1.0,0.3232170535325843,0.323913074305944,0.3133725202057311,0.4207391106389437,0.02969814052589868,0.013338717599340714,0.010835939658177904
all,20,stock_qqq,73837,1.0,0.31651709492814817,0.31931553217742,0.29044724730351684,0.3136667172560328,0.03278577566551963,0.015401243903207167,0.011527572085217016
all,20,stock_qqq_early,73837,1.0,0.3165724605144143,0.31936448848696103,0.2906106092030794,0.3136667172560328,0.03264295504310369,0.01568263953402994,0.011575659799865967
semiconductor_ai,5,boosted_full_context,8756,1.0,0.32036461497271806,0.3203592855211496,0.3506887052341598,0.38079569249177386,0.01908695155163438,0.014518343722518368,0.0056637494361312275
semiconductor_ai,5,full_context,8756,1.0,0.3269367331211847,0.321384022487816,0.3645616470043951,0.47143284475022434,0.01587838723537463,0.009360367519836987,0.00878884442315031
semiconductor_ai,5,majority_baseline,8756,1.0,0.33076869618897736,0.3071256542188379,0.372003618272275,0.4920729883338319,0.009658319059165829,,0.015037353182212342
semiconductor_ai,5,ridge_baseline,8756,1.0,0.322422840739047,0.3195258479271357,0.3596222562531904,0.42147771462758,0.015381450906528333,0.015398650051124861,0.0075222310567561205
semiconductor_ai,5,stock_only,8756,1.0,0.3269083639826029,0.3192985448729944,0.36300801769422175,0.39276099311995216,0.010961105259081819,0.015102088401243934,0.013139154053515303
semiconductor_ai,5,stock_qqq,8756,1.0,0.31569289069420253,0.3061751135968938,0.35184700026198584,0.4017349685910859,0.018097291084786464,0.020162540988770024,0.007125395033637999
semiconductor_ai,5,stock_qqq_early,8756,1.0,0.3159711212855048,0.3072399575622808,0.35101076398004727,0.3999401734968591,0.01825218550315319,0.021460377290030364,0.006925310738272352
semiconductor_ai,20,boosted_full_context,8426,1.0,0.35421138881626835,0.35344567468775306,0.34643510054844606,0.395615866388309,0.04651428343871998,0.023746209565951183,0.07867704382201224
semiconductor_ai,20,full_context,8426,1.0,0.3491803351153783,0.34414635719149494,0.3498306850742381,0.4672929714683368,0.039958443415940945,0.06773079633232318,0.07764086631193151
semiconductor_ai,20,majority_baseline,8426,1.0,0.34168151440980976,0.3155180147267753,0.35006784260515605,0.5386221294363257,0.04218120715025066,,0.07953178765425059
semiconductor_ai,20,ridge_baseline,8426,1.0,0.3487006343456847,0.34661008883864924,0.3416719442685244,0.3754349338900487,0.045052528006700954,0.030029200124360868,0.08079902785170275
semiconductor_ai,20,stock_only,8426,1.0,0.34006916211893684,0.3174608552829026,0.34840871021775544,0.5066109951287404,0.04474480038218659,-0.011314588913888125,0.07562961871227644
semiconductor_ai,20,stock_qqq,8426,1.0,0.33226123839702676,0.3260277255933119,0.3241317898486198,0.37995824634655534,0.04809904828374271,0.014060166412124875,0.07023347093206352
semiconductor_ai,20,stock_qqq_early,8426,1.0,0.3310550664720015,0.3243766755740021,0.3230678116671602,0.37961029923451634,0.04838126893625415,0.011793299386178775,0.07006657665631943
