ticker,name,exchange,request_status,quality_status,raw_rows,valid_rows,duplicate_dates,invalid_rows,first_date,last_date,post_2018_valid_rows,traded_since_2018,raw_bytes,suspicious_security_label,http_status,error_type,retryable
AAAB,Admiralty Bancorp Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
AABA,Altaba Inc,NASDAQ,success,clean,944,944,0,0,2016-01-04,2019-10-02,441,True,152670,False,,,
AABC,Access Anytime Bancorp Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
AACC,Asset Acceptance Capital Corp,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
AACE,Ace Cash Express Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
AACQ,Origin Materials Inc,NASDAQ,success,clean,204,204,0,0,2020-09-04,2021-06-28,204,True,32371,False,,,
AACQU,Origin Materials Inc,NASDAQ,success,clean,240,240,0,0,2020-07-14,2021-06-24,240,True,38422,False,,,
AACQW,Artius Acquisition Inc,NASDAQ,success,clean,203,203,0,0,2020-09-04,2021-06-25,203,True,31650,False,,,
AADI,Aadi Bioscience Inc,NASDAQ,success,clean,1869,1869,0,0,2017-08-08,2025-03-19,1809,True,291937,False,,,
AAGIY1,Anglo American Gold Investment Co Ltd,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
AAGRW,African Agriculture Holdings Inc,NASDAQ,success,warning,6,5,0,1,2025-04-01,2026-03-02,5,True,969,False,,,
AAII,Aaipharma Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
AANB,Abigail Adams National Bancorp Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
AAPC,Atlantic Alliance Partnership Corp,NASDAQ,success,clean,443,443,0,0,2016-01-04,2017-10-04,0,False,69450,False,,,
AAPGV,Ascentage Pharma Group International American Depository Shares When Issued,NASDAQ,success,clean,46,46,0,0,2025-01-23,2025-03-28,46,True,7313,False,,,
AATI,Advanced Analogic Technologies Incorp.,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
AATT,Aavid Thermal Technologies Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
AAUGD,Aero Energy Limited,NASDAQ,success,clean,1265,1265,0,0,2021-03-22,2026-04-02,1265,True,199976,False,,,
AAWHQ,Atlas Air Worldwide Holdings Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
AAWW,Atlas Air Worldwide Holdings,NASDAQ,success,clean,1819,1819,0,0,2016-01-04,2023-03-24,1316,True,291504,False,,,
ABAC,Renmin Tianli Group Inc,NASDAQ,success,clean,765,765,0,0,2016-01-04,2019-01-16,262,True,119663,False,,,
ABACF,Abacan Resource Corp,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABAN,American Bancshares Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABAX,Abaxis Inc,NASDAQ,success,clean,649,649,0,0,2016-01-04,2018-07-31,146,True,105237,False,,,
ABBBY,Abb Asea Brown Boveri Ltd,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABBC,ABINGTON BANCORP INC./PA,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABBK,Abington Bancorp Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABCC,Abc Dispensing Technologies Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABCD,Cambium Learning Group Inc,NASDAQ,success,clean,745,745,0,0,2016-01-04,2018-12-17,242,True,116285,False,,,
ABCM,Abcam PLC,NASDAQ,success,warning,794,793,0,1,2020-10-22,2023-12-15,793,True,127398,False,,,
ABCO,The Advisory Board Company,NASDAQ,success,clean,475,475,0,0,2016-01-04,2017-11-17,0,False,75786,False,,,
ABCR,ABC Naco Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABCW,Anchor BanCorp Wisconsin Inc,NASDAQ,success,clean,82,82,0,0,2016-01-04,2016-04-29,0,False,13111,False,,,
ABDC,Alcentra Capital Corporation,NASDAQ,success,clean,1027,1027,0,0,2016-01-04,2020-01-31,524,True,162831,False,,,
ABDS,Allegro Biodiesel Corp,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABEOW,Abeona Therapeutics Inc,NASDAQ,success,clean,1000,1000,0,0,2016-01-04,2019-12-20,497,True,152817,False,,,
ABFIQ,American Business Financial Services Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABFS,Arkansas Best Corp,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABGB,ABENGOA SA,NASDAQ,success,clean,80,80,0,0,2016-01-04,2016-04-27,0,False,12474,False,,,
ABGI,ABG Acquisition I Corp,NASDAQ,success,clean,518,518,0,0,2021-02-17,2023-03-08,518,True,79935,False,,,
ABGX,Abgenix Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABII,Abraxis BioScience Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABIL,Ability Inc,NASDAQ,success,clean,1003,1003,0,0,2016-01-04,2019-12-26,500,True,157254,False,,,
ABIO,ARCA Biopharma Inc,NASDAQ,success,clean,2180,2180,0,0,2016-01-04,2024-08-30,1677,True,343277,False,,,
ABIX,Abatix Corp,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABIZA,Adelphia Business Solutions Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABK,Ambac Financial Group Inc,NASDAQ,success,clean,523,523,0,0,2016-01-04,2018-01-30,20,True,80694,False,,,
ABL,Abacus Life Inc.,NASDAQ,success,clean,1268,1268,0,0,2020-09-14,2025-12-31,1268,True,200556,False,,,
ABLLW,Abacus Life Inc.,NASDAQ,success,clean,526,526,0,0,2023-07-03,2025-08-13,526,True,82423,False,,,
ABLX,ABLYNX NV,NASDAQ,success,clean,158,158,0,0,2017-10-25,2018-06-12,112,True,25287,False,,,
ABMD,ABIOMED Inc,NASDAQ,success,clean,1758,1758,0,0,2016-01-04,2022-12-23,1255,True,290353,False,,,
ABNJ,American Bancorp Of New Jersey Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABOV,Abovenet Communications Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABPI,Accentia Biopharmaceuticals Inc,NASDAQ,success,clean,3,3,0,0,2016-01-04,2016-01-06,0,False,488,False,,,
ABQQD,AI Era Corp.,NASDAQ,success,clean,2522,2522,0,0,2016-03-23,2026-04-02,2074,True,390233,False,,,
ABRX,Able Laboratories Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABSC,Aurora Biosciences Corp,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABST,Absolute Software Corporation,NASDAQ,success,clean,1910,1910,0,0,2016-01-04,2023-08-04,1407,True,299994,False,,,
ABTE,Able Telcom Holding Corp,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABTL,Autobytel Inc,NASDAQ,success,clean,445,445,0,0,2016-01-04,2017-10-06,0,False,70966,False,,,
ABTX,Allegiance Bancshares Inc,NASDAQ,success,clean,1704,1704,0,0,2016-01-04,2022-10-07,1201,True,274419,False,,,
ABVA,ALLIANCE BANKSHARES CORP,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
ABWG,Ab Watley Group Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False,,,
