ticker,name,exchange,request_status,quality_status,raw_rows,valid_rows,duplicate_dates,invalid_rows,first_date,last_date,post_2018_valid_rows,traded_since_2018,raw_bytes,suspicious_security_label
ACAP,AMERICAN PHYSICIANS CAPITAL INC,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
AMLN,Amylin Pharmaceuticals LLC,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
AMRS,Amyris Inc,NASDAQ,success,clean,1920,1920,0,0,2016-01-04,2023-08-18,1417,True,211483,False
ARVX,Aerovox Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
ASBI,Ameriana Bancorp,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
ASCB,A SPAC II Acquisition Corp. Ordinary Shares,NASDAQ,success,clean,802,802,0,0,2022-05-31,2025-08-11,802,True,87221,False
BBSW,Broadbase Software Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
BFED,Beacon Federal Bancorp Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
BOWNR,Bowen Acquisition Corp Rights,NASDAQ,success,warning,255,254,0,1,2023-08-17,2025-07-15,254,True,28152,False
BRLIU,Brilliant Acquisition Corp,NASDAQ,success,clean,888,888,0,0,2020-06-24,2024-01-03,888,True,94661,False
CBNJ1,Community Bancorp Of New Jersey,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
CCNWW,FinTech Acquisition Corp. Warrants,NASDAQ,success,clean,384,384,0,0,2016-01-08,2017-07-19,0,False,40470,True
CELM,China Electric Motor Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
CFRX,ContraFect Corp,NASDAQ,success,clean,2066,2066,0,0,2016-01-04,2024-03-20,1563,True,225753,False
CGEN1,Collagen Aesthetics Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
CLYS,Catalyst International Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
CNFRL,Conifer Holdings Inc. Senior Unsecured Notes,NASDAQ,success,clean,1236,1236,0,0,2018-10-31,2023-09-29,1236,True,136920,False
DBTX,Decibel Therapeutics Inc,NASDAQ,success,clean,665,665,0,0,2021-02-12,2023-10-04,665,True,71444,False
DCRD,Decarbonization Plus Acquisition Corporation IV,NASDAQ,success,clean,356,356,0,0,2021-10-04,2023-03-03,356,True,38567,False
