ticker,identity_panel,cik,link_status,decision_rule,reason_codes
AAIC,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
ACY,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
ADEX,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
AGGRU,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
AIU,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
AKG,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
ALTV,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
AML,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
AMMD,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
ARWA,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
ATMV,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
AVDX,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
AVTA,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
AYRO,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
BEE,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
BEEMW,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
BEI,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
BFIWQ,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
BFO,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
BGF,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
BIOS,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
BNSO,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
BOBJ,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
BPK,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
BRCN,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
BUJA,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
BYN,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
CAPX1,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
CATB,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
CAW,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
CBCI,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
CCIV,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
CCNC,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
CDORO,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
CENB,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
CENH,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
CGBS,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
CHAQ,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
CHEB,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
CIIC,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
CLSN,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
CLVS,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
CMD,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
CMRAW,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
CNAC,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
CNSI1,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
CNSL,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
COE1,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
COMR,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
CONE,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
COWN,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
CPLY1,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
CTAC,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
CTBP1,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
CTK,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
CTRA,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
CURO,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
CVON,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
DDIC,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
