scope,source,sample_count,signal_rate,precision,recall,specificity,balanced_accuracy,coverage,mean_future_return,mean_future_mae
all,individual,79062,0.207027,0.340054,0.220261,0.799189,0.509725,0.998485,0.027280,-0.089792
all,group,79182,0.127516,0.355056,0.141576,0.879094,0.510335,1.000000,0.038846,-0.095705
all,slow_decline,78888,0.269876,0.353640,0.298912,0.743743,0.521328,0.996287,0.033867,-0.091081
all,unified_policy_high,79182,0.412076,0.337246,0.434563,0.598496,0.516529,1.000000,0.029841,-0.088861
semiconductor,individual,45151,0.205754,0.316469,0.211131,0.796644,0.503887,0.999557,0.032728,-0.085994
semiconductor,group,45171,0.121472,0.325497,0.128139,0.881504,0.504821,1.000000,0.042951,-0.090720
semiconductor,slow_decline,45122,0.261646,0.321193,0.272629,0.743248,0.507939,0.998915,0.040621,-0.085467
semiconductor,unified_policy_high,45171,0.404131,0.314051,0.411322,0.599078,0.505200,1.000000,0.034132,-0.084468
software,individual,33911,0.208723,0.371009,0.231468,0.802712,0.517090,0.997060,0.020129,-0.094777
software,group,34011,0.135544,0.390239,0.158029,0.875768,0.516898,1.000000,0.033961,-0.101639
software,slow_decline,33766,0.280874,0.394032,0.331324,0.744430,0.537877,0.992796,0.025459,-0.098069
software,unified_policy_high,34011,0.422628,0.366704,0.463018,0.597693,0.530356,1.000000,0.024392,-0.094439
