scope,horizon,regime,regime_version,regime_start,regime_end,specification,sample_count,coverage,balanced_accuracy,macro_f1,down_precision,down_recall,mean_return_predicted_down,mean_return_predicted_neutral,mean_return_predicted_up,return_mae,rank_ic,sample_mode,accuracy,up_precision,up_recall,fold_win_rate_vs_ridge_current,comparable_fold_count
all,5,acute_selloff,market_regime_v1,2020-02-25,2025-04-08,logistic_decay_market,10720,1.0,0.3366881323874147,0.2680689267888926,0.32051282051282054,0.035878300803673935,0.07320916516002896,0.017646409142565534,0.018899136741032753,,,overlapping,0.5455223880597015,0.5556855861127364,0.9544388609715243,0.25,4
all,5,acute_selloff,market_regime_v1,2020-02-25,2025-04-08,majority_baseline,10720,1.0,0.3333333333333333,0.2384661473936489,0.0,0.0,,,0.020866086721063076,,,overlapping,0.5569029850746269,0.5569029850746269,1.0,0.25,4
all,5,acute_selloff,market_regime_v1,2020-02-25,2025-04-08,ridge_current,10720,1.0,0.3678061246099144,0.34771474073777964,0.3487133984028394,0.22560275545350172,0.008804236062138853,0.015493064284958533,0.028276779206555056,0.08517926448137951,0.12289832994931874,overlapping,0.41902985074626864,0.5792436235708004,0.5515912897822446,,0
all,5,acute_selloff,market_regime_v1,2020-02-25,2025-04-08,ridge_decay_market,10720,1.0,0.37084890134162457,0.359390998399803,0.35617936565803865,0.2804247990815155,0.011333003288562696,0.017774689849762472,0.026738931327834708,0.10213259857814651,0.0774694257044905,overlapping,0.4311567164179104,0.5802752293577982,0.5509212730318258,0.75,4
all,5,acute_selloff,market_regime_v1,2020-02-25,2025-04-08,ridge_decay_only,10720,1.0,0.36936514842570906,0.3581240266221344,0.3509719222462203,0.2798507462686567,0.012432400387891285,0.01734825995619606,0.026439828239404037,0.10183986106711053,0.07892231909022082,overlapping,0.4298507462686567,0.5805309734513274,0.5494137353433836,0.75,4
all,5,acute_selloff,market_regime_v1,2020-02-25,2025-04-08,ridge_decay_volume,10720,1.0,0.3697700210763866,0.35898308098435366,0.3504302925989673,0.29219288174512054,0.012145386247876575,0.017231236955249682,0.026933346685243983,0.10288670697289556,0.07330429930893269,overlapping,0.42835820895522386,0.5818739844737317,0.5398659966499163,0.75,4
all,5,correction,market_regime_v1,2020-03-02,2026-03-31,logistic_decay_market,57645,1.0,0.3466072456206181,0.302883286963231,0.3913978494623656,0.13029082774049217,0.00941506605384766,-0.004619157138481273,0.0039820346620310886,,,overlapping,0.45960621042588257,0.4762445306695286,0.8464162570611107,0.5,4
all,5,correction,market_regime_v1,2020-03-02,2026-03-31,majority_baseline,57645,1.0,0.3333333333333333,0.21405380789177178,0.0,0.0,,,0.004421688826812372,,,overlapping,0.4729291352242172,0.4729291352242172,1.0,0.0,4
all,5,correction,market_regime_v1,2020-03-02,2026-03-31,ridge_current,57645,1.0,0.35902711095685813,0.3364250660058558,0.4078528245465774,0.2807158836689038,-0.002537222826862088,0.001770058313302882,0.011786155713669142,0.06745548658200452,0.08968298890715654,overlapping,0.35864342093850293,0.5186505759736698,0.4161836989215758,,0
all,5,correction,market_regime_v1,2020-03-02,2026-03-31,ridge_decay_market,57645,1.0,0.351267084324051,0.33542891581636475,0.3951838194211644,0.31646532438478747,0.0018688995957168554,0.0016104675413297783,0.008787464764590512,0.07104153022597,0.046968658992454296,overlapping,0.3601179633966519,0.5017551857761569,0.4037121267698628,0.0,4
all,5,correction,market_regime_v1,2020-03-02,2026-03-31,ridge_decay_only,57645,1.0,0.35217932783090355,0.33739737183733354,0.3997216035634744,0.32120805369127514,0.0003995216764806095,0.0024782068402693946,0.009260443804166981,0.07086840566893446,0.058656362697030354,overlapping,0.3630843958712811,0.5049720746492303,0.4079304526447069,0.0,4
all,5,correction,market_regime_v1,2020-03-02,2026-03-31,ridge_decay_volume,57645,1.0,0.3515314209074149,0.33588851771832884,0.39623901190608657,0.31865771812080534,0.0016822377766749226,0.0017732580054320162,0.008828158896532538,0.07105863013677131,0.047135579940232056,overlapping,0.3606383901465869,0.5026975128017557,0.40330863472966033,0.25,4
all,5,range_bound,market_regime_v1,2019-12-03,2026-07-14,logistic_decay_market,32065,1.0,0.36152243124548883,0.3602318983864925,0.34520199550034236,0.30354378118011355,0.015688854340503676,0.0050218084310419695,0.008234908086177394,,,overlapping,0.395820988616872,0.46789101673412675,0.5080687483600105,0.75,4
all,5,range_bound,market_regime_v1,2019-12-03,2026-07-14,majority_baseline,32065,1.0,0.3333333333333333,0.2148146582397993,0.0,0.0,,,0.010081395174341009,,,overlapping,0.47540932480898174,0.47540932480898174,1.0,0.25,4
