scope,horizon,specification,sample_count,coverage,balanced_accuracy,macro_f1,down_precision,down_recall,mean_return_predicted_down,mean_return_predicted_neutral,mean_return_predicted_up,return_mae,rank_ic,sample_mode,accuracy,up_precision,up_recall,fold_win_rate_vs_ridge_current
all,5,logistic_decay_market,371135,1.0,0.38032999739771683,0.3739899139147412,0.4082497054402145,0.2786574966375019,0.00893113381152836,0.0023564427533144,0.0041295938313455766,,,overlapping,0.408277311490428,0.44699105756721336,0.5689950256107171,1.0
all,5,majority_baseline,371135,1.0,0.3333333333333333,0.20295108205717372,0.0,0.0,,,0.0050883883068584,,,overlapping,0.4376628450563811,0.4376628450563811,1.0,0.0
all,5,ridge_current,371135,1.0,0.3541132914972256,0.32670378693148083,0.37520862557979995,0.2540523301765138,0.004365180574746466,0.002847668471440459,0.008289959183398152,0.061988714139239745,0.01599208927566365,overlapping,0.33360636964985785,0.46295780143820725,0.3579036150512214,
all,5,ridge_decay_market,371135,1.0,0.35214052746145347,0.3307654525428619,0.3762767160361095,0.28146535587015903,0.005469559412682218,0.002849066659473754,0.007148070959514734,0.06500918702052957,0.00537305237670551,overlapping,0.338836272515392,0.4575317120592063,0.35928881008668245,0.0
all,5,ridge_decay_only,371135,1.0,0.35130477993208425,0.33078819257763015,0.3742967323670778,0.27858816677990544,0.00499321165538701,0.002999637128802185,0.007320810631268927,0.06492375736445273,0.007010288829253947,overlapping,0.3396284370916243,0.45812318567171534,0.3662825059101655,0.0
all,5,ridge_decay_volume,371135,1.0,0.3523829294966831,0.33097872426759456,0.3765446404568335,0.28161094857111163,0.005442179340827582,0.0028372551574817433,0.007184360723642778,0.06501432122373897,0.0054274741319589636,overlapping,0.33904913306478773,0.45781262250098,0.35949812844759654,0.25
all,5,logistic_decay_market,74433,1.0,0.38261410454330624,0.37623493790610985,0.41518627550502485,0.28226363008971705,0.00893872882532015,0.002247720898275772,0.00436596194824784,,,non_overlapping,0.4118872005696398,0.45075265714423124,0.5745065587838666,1.0
all,5,majority_baseline,74433,1.0,0.3333333333333333,0.2031738915197878,0.0,0.0,,,0.005202262707456737,,,non_overlapping,0.4383539559066543,0.4383539559066543,1.0,0.0
all,5,ridge_current,74433,1.0,0.3560148538950674,0.328057861540521,0.37867402750089457,0.25562456866804695,0.004809186404628331,0.002676315837279916,0.008443651003013577,0.06253933431331868,0.014117287575536552,non_overlapping,0.3351470449934841,0.4624088310664301,0.35947652323158025,
all,5,ridge_decay_market,74433,1.0,0.3526660838708668,0.33107126946403836,0.3784867905389829,0.28326432022084197,0.005781087272278633,0.0027879603455473194,0.0072686316622046785,0.06553826356779191,0.003285969508090027,non_overlapping,0.33932529926242394,0.4574127566554766,0.359139389481427,0.0
all,5,ridge_decay_only,74433,1.0,0.3514832150138491,0.33127765949817806,0.3778423504450902,0.2826777087646653,0.005190513969418702,0.0028270933389592115,0.00765332763266199,0.06537544338072308,0.007383597254074093,non_overlapping,0.34045383096207327,0.4592527100791881,0.3661579011891627,0.25
all,5,ridge_decay_volume,74433,1.0,0.35234310535726204,0.3308438827376217,0.37872772597174775,0.28309178743961355,0.0057985201927797814,0.0027180054233496343,0.0073342552375189295,0.06551608402154528,0.004069319167567779,non_overlapping,0.3391372106458157,0.4577946173977579,0.3592006865269094,0.0
all,20,logistic_decay_market,367535,1.0,0.351622208895839,0.35259642852695244,0.3651707097210373,0.32986295394234616,0.035050189811056974,0.0078100784059664695,0.019736887552222502,,,overlapping,0.4138653461575088,0.4658303858252307,0.5665857736699101,0.75
all,20,majority_baseline,367535,1.0,0.3333333333333333,0.21273397693006457,0.0,0.0,,,0.02381706949788525,,,overlapping,0.46864652346035074,0.46864652346035074,1.0,0.25
all,20,ridge_current,367535,1.0,0.344449473073375,0.3285317925530611,0.34386493640392185,0.25217928677887236,0.01956936962329411,0.014467494965274587,0.03346463191520125,0.1410386651152626,0.02066960356310473,overlapping,0.35318541091324634,0.489196657888748,0.43679895961542925,
all,20,ridge_decay_market,367535,1.0,0.34353265714695064,0.3318710291737025,0.35,0.2825548002471918,0.023673553646107157,0.014483625443134548,0.03023019331253629,0.14994157966135582,0.007244946204857928,overlapping,0.35694287618866233,0.4829068764538303,0.4290773553795778,0.5
all,20,ridge_decay_only,367535,1.0,0.34337889101378144,0.3320235447544895,0.34814565500177386,0.2782507542985932,0.021825840702315018,0.01468683786840255,0.031246784027794305,0.14926032754061902,0.00962939051699936,overlapping,0.35835226577060686,0.4846599290163417,0.4368337939202527,0.25
all,20,ridge_decay_volume,367535,1.0,0.34353711879871773,0.33173161925731615,0.3501444163509902,0.28291831764149916,0.023512341255225576,0.014764208774878012,0.030209072731396832,0.15008575556870193,0.006518504192251549,overlapping,0.3565048226699498,0.48281719330001704,0.42741111446552565,0.5
all,20,logistic_decay_market,18811,1.0,0.3502181202465518,0.3497108313220189,0.3532697995399277,0.30975363780435095,0.03431547861552418,0.006517838803679684,0.022248298047685463,,,non_overlapping,0.41337515283610654,0.46576829157999455,0.5876982768458291,0.75
all,20,majority_baseline,18811,1.0,0.3333333333333333,0.2118662508159861,0.0,0.0,,,0.02475759871840285,,,non_overlapping,0.4658444527138377,0.4658444527138377,1.0,0.25
all,20,ridge_current,18811,1.0,0.34125307046140735,0.3284441751312052,0.34599074787972245,0.2586082697017721,0.018496982645336887,0.023191031460849703,0.029910310104634064,0.14085113348207656,0.004898128599729906,non_overlapping,0.3521875498378608,0.47440699126092384,0.4336414469930389,
all,20,ridge_decay_market,18811,1.0,0.3354966957305276,0.32587699263386294,0.3429804062556175,0.27488834461893097,0.02667897296475156,0.01998704073359936,0.026540359996077678,0.15083960355079348,-0.014393770136953206,non_overlapping,0.35011429482749457,0.4649943841257956,0.4251968503937008,0.25
all,20,ridge_decay_only,18811,1.0,0.3416960910154648,0.3316594350850772,0.3452338450553374,0.27863420256447197,0.024136044777105462,0.022127322857079492,0.026855246052053916,0.15001847416474104,-0.011661077050448736,non_overlapping,0.3558024560097815,0.4675324675324675,0.43135912358781237,0.5
all,20,ridge_decay_volume,18811,1.0,0.33708547048977894,0.32692328421283506,0.34434217650243637,0.27488834461893097,0.02694544195049234,0.02046819797176789,0.02607629869270405,0.1508416974495174,-0.014913390784044505,non_overlapping,0.35059273829142523,0.46532298447671505,0.42416980486134886,0.5
semiconductor,5,logistic_decay_market,81316,1.0,0.35675217307148904,0.35782550029526056,0.4048026293725056,0.36771874238362173,0.007668154600787597,0.006997834525310348,0.006655090459942646,,,overlapping,0.4187244822667126,0.45701470221779217,0.5477748513399766,0.25
semiconductor,5,majority_baseline,81316,1.0,0.3333333333333333,0.207818076657215,0.0,0.0,,,0.007057566711017695,,,overlapping,0.4529120960204634,0.4529120960204634,1.0,0.0
semiconductor,5,ridge_current,81316,1.0,0.3558182334122353,0.19743219440685822,0.3449519230769231,0.008743602242261759,0.004351561539825474,0.006016115697325192,0.0106921378458806,0.05738136693057745,-0.0031665652861035958,overlapping,0.22850361552462,0.4727549301896018,0.23628119145238807,
semiconductor,5,ridge_decay_market,81316,1.0,0.3555217378701907,0.21683722042905826,0.40477077897875513,0.03308554716061418,0.001610914042156142,0.0060947633224866914,0.010643131131979792,0.05751252514817187,0.00040062394603863585,overlapping,0.24056766196074572,0.473310504582536,0.2552064948817508,0.5
semiconductor,5,ridge_decay_only,81316,1.0,0.3574438147799697,0.20390662113786048,0.35989196488858877,0.016238118449914695,0.004742643893144139,0.005965252580953803,0.010792849218160663,0.05746519962620959,-0.0045546506747750565,overlapping,0.23259875055339663,0.4726749760306807,0.24095142414944745,0.5
semiconductor,5,ridge_decay_volume,81316,1.0,0.35618899876822535,0.20908957789231838,0.3757700205338809,0.022300755544723373,0.004821831265834034,0.005756180879797534,0.011359991765293894,0.057501319264167,-0.00169122969192872,overlapping,0.23579615327856757,0.4753500963090218,0.24792962067935595,0.5
semiconductor,5,logistic_decay_market,16308,1.0,0.36018281202450825,0.36179099728626146,0.4048772340070152,0.36838905775075986,0.0073600144307634585,0.006843993879925331,0.007160858280517306,,,non_overlapping,0.42200147167034585,0.4613733905579399,0.5506875168509032,0.25
semiconductor,5,majority_baseline,16308,1.0,0.3333333333333333,0.20843519064879598,0.0,0.0,,,0.007205468765914369,,,non_overlapping,0.45486877606082904,0.45486877606082904,1.0,0.0
semiconductor,5,ridge_current,16308,1.0,0.35522701721396094,0.1960358634679349,0.34545454545454546,0.008662613981762919,0.004561827786657139,0.006123735426340373,0.01093907630939672,0.05773653413127245,-0.006815697009609813,non_overlapping,0.226943831248467,0.46973365617433416,0.2353734160150984,
semiconductor,5,ridge_decay_market,16308,1.0,0.35142556809691955,0.21394412594632797,0.420863309352518,0.03556231003039514,0.0013738238474088407,0.006452789723030007,0.010248313820114855,0.05781445320050016,-0.0020504136729726737,non_overlapping,0.23650968849644347,0.4635495223730518,0.2485845241304934,0.5
semiconductor,5,ridge_decay_only,16308,1.0,0.3550854934255289,0.20160636759888742,0.386986301369863,0.01717325227963526,0.005210133410247659,0.0062052678666618755,0.01060427569026617,0.05780551044553902,-0.00927127878704041,non_overlapping,0.22970321314692177,0.4663487016428193,0.23726071717444056,0.5
semiconductor,5,ridge_decay_volume,16308,1.0,0.3523537902004885,0.2062397034887206,0.39641943734015345,0.023556231003039513,0.0029235626987528813,0.005877083234268155,0.011777817079490013,0.057828707227957146,-0.004582280892097541,non_overlapping,0.23215599705665932,0.4670287044220326,0.24346184955513617,0.5
semiconductor,20,logistic_decay_market,80536,1.0,0.3374363021087948,0.33289982644062605,0.36949473941766575,0.39318492481937123,0.02814749113892429,0.03309273692955078,0.038393548223292585,,,overlapping,0.43014304162113837,0.49184892441729916,0.5560661064710213,0.25
