scope,horizon,sample_mode,fold,specification,sample_count,coverage,balanced_accuracy,macro_f1,down_precision,down_recall,mean_return_predicted_down,mean_return_predicted_neutral,mean_return_predicted_up
all,5,overlapping,0,logistic_global,384686,1.0,0.4007685561006345,0.3548046160766105,0.4178393372222683,0.3038146865095585,0.0091609151847253,0.0023481357921886,0.0047131777736581
all,5,overlapping,0,logistic_group,384686,1.0,0.4002051747909401,0.3619971773307346,0.4177080520160729,0.3420084562346303,0.0084146447579749,0.0023059791103402,0.004741871150522
all,5,overlapping,0,logistic_time,384686,1.0,0.400005599332448,0.3516643868497538,0.4159378928725464,0.3037141765892293,0.0086110639764139,0.0022296864139291,0.0055134264701923
all,5,overlapping,0,logistic_time_group,384686,1.0,0.3997826047160226,0.3579653261499583,0.415700560313641,0.3310863782255309,0.0081834024053262,0.0022891420970856,0.0052611601514923
all,5,overlapping,0,logistic_time_group_ticker,384686,1.0,0.4045246307628863,0.3584716391066274,0.4209045409649654,0.3397972379873893,0.0080944565508221,0.0022685212702157,0.0054962776981181
all,5,overlapping,0,majority_baseline,384686,1.0,0.3333333333333333,0.202699597828309,0.0,0.0,,,0.0049593451112392
all,5,overlapping,0,ridge_current,384686,1.0,0.3534908724749677,0.3268329565068227,0.3760287002191803,0.2437097541527348,0.003701328674056,0.0030652177146519,0.0079801034120171
all,5,overlapping,1,logistic_global,66607,1.0,0.3891063694744205,0.3466175888256715,0.3738417070475219,0.364710760937176,0.0115790611412421,0.0033387807479585,0.0037172273558391
all,5,overlapping,1,logistic_group,66607,1.0,0.3900553279909887,0.358090678641455,0.3780035478148685,0.3888036491810077,0.0103552651363825,0.0031492404204869,0.0050498480704345
all,5,overlapping,1,logistic_time,66607,1.0,0.3869400035469725,0.351101019221115,0.3756875687568757,0.3681940700808625,0.00977947572391,0.0033008837705788,0.0061291673025803
all,5,overlapping,1,logistic_time_group,66607,1.0,0.386590201185845,0.3580821570295547,0.3777893722908974,0.3903379639228695,0.0090527012545856,0.0033551220536976,0.0064192423408543
all,5,overlapping,1,logistic_time_group_ticker,66607,1.0,0.3979101383140513,0.3639963086499859,0.3888641605632663,0.3985071532241344,0.0081803697807557,0.0031674984994595,0.0081558396949595
