variant,horizon,fold,group,regime,sample_count,support_hold_rate,support_break_rate,first_bounce_delay,maximum_favorable_excursion,maximum_adverse_excursion,final_return,eligible_count,unavailable_count,max_adverse_excursion,sample_mode,regime_scope,comparison_scope
baseline,5,1,other,acute_selloff,420,0.6071428571428571,0.39285714285714285,1.29136690647482,0.05908006399866027,-0.03328611114676148,0.029600561005155925,151384,8303,-0.03328611114676148,overlapping,observed,all_eligible
baseline,5,1,other,correction,4330,0.582217090069284,0.41778290993071593,1.6507389162561577,0.03762189826226869,-0.03564897242195208,0.001887348054384699,151384,8303,-0.03564897242195208,overlapping,observed,all_eligible
baseline,5,1,other,range_bound,2978,0.661517797179315,0.33848220282068503,1.8353028064992614,0.03511361580610018,-0.025985460688767274,0.010291243964858575,151384,8303,-0.025985460688767274,overlapping,observed,all_eligible
baseline,5,1,other,under_pressure,6211,0.5301883754628884,0.46981162453711156,1.7570884468895471,0.030221976932112444,-0.03343674554235192,-0.0019144435031671688,151384,8303,-0.03343674554235192,overlapping,observed,all_eligible
baseline,5,1,other,uptrend,12048,0.5729581673306773,0.4270418326693227,1.9095619406500235,0.026673490917815696,-0.02962269362231063,-0.002559717148113607,151384,8303,-0.02962269362231063,overlapping,observed,all_eligible
baseline,5,1,semiconductor,acute_selloff,207,0.6280193236714976,0.3719806763285024,1.0062893081761006,0.07503646246262967,-0.03755448959085483,0.03547631049993109,73886,4936,-0.03755448959085483,overlapping,observed,all_eligible
baseline,5,1,semiconductor,correction,2012,0.5034791252485089,0.49652087475149104,1.352372583479789,0.048735157293093,-0.046423954413645024,0.001593814113549941,73886,4936,-0.046423954413645024,overlapping,observed,all_eligible
baseline,5,1,semiconductor,range_bound,1433,0.6880669923237962,0.31193300767620374,1.5706914344685243,0.05586378131149194,-0.029957851252284607,0.025330874061852332,73886,4936,-0.029957851252284607,overlapping,observed,all_eligible
baseline,5,1,semiconductor,under_pressure,2812,0.4292318634423898,0.5707681365576103,1.491691842900302,0.04088189569787855,-0.045897427204878306,-0.0024401749340205855,73886,4936,-0.045897427204878306,overlapping,observed,all_eligible
baseline,5,1,semiconductor,uptrend,5822,0.5456887667468224,0.4543112332531776,1.654073199527745,0.0371815097759353,-0.03914174617238451,-0.002965638790699662,73886,4936,-0.03914174617238451,overlapping,observed,all_eligible
