feature,fold,pair_count,both_available_count,pair_availability
pit_sector_relative_strength_20,1,1179,1041,0.8829516539440203
pit_sector_relative_strength_20,2,928,630,0.6788793103448276
pit_sector_relative_strength_20,3,1704,1589,0.9325117370892019
pit_sector_relative_strength_20,4,1348,1173,0.8701780415430267
pit_sector_relative_strength_20,5,3040,2714,0.8927631578947368
pit_stock_sector_relative_strength_20,1,1179,1041,0.8829516539440203
pit_stock_sector_relative_strength_20,2,928,630,0.6788793103448276
pit_stock_sector_relative_strength_20,3,1704,1589,0.9325117370892019
pit_stock_sector_relative_strength_20,4,1348,1173,0.8701780415430267
pit_stock_sector_relative_strength_20,5,3040,2714,0.8927631578947368
pit_sector_assignment_age_days,1,1179,1041,0.8829516539440203
pit_sector_assignment_age_days,2,928,630,0.6788793103448276
pit_sector_assignment_age_days,3,1704,1589,0.9325117370892019
pit_sector_assignment_age_days,4,1348,1173,0.8701780415430267
pit_sector_assignment_age_days,5,3040,2714,0.8927631578947368
pit_sector_residual_correlation,1,1179,1041,0.8829516539440203
pit_sector_residual_correlation,2,928,630,0.6788793103448276
pit_sector_residual_correlation,3,1704,1589,0.9325117370892019
pit_sector_residual_correlation,4,1348,1173,0.8701780415430267
pit_sector_residual_correlation,5,3040,2714,0.8927631578947368
