scope,horizon,sample_mode,fold,specification,sample_count,balanced_accuracy,macro_f1,down_precision,down_recall,down_coverage,mean_return_predicted_down,median_return_predicted_down,mean_mae_predicted_down
all,5,overlapping,0,logistic_global,384686,0.4007685561006345,0.3548046160766105,0.4178393372222683,0.3038146865095585,0.2820820097430112,0.009160915184725359,0.0036804201877662646,-0.061159885875804426
all,5,overlapping,0,logistic_regime_prior,384686,0.4005591720125598,0.355983817761879,0.42286428537089565,0.2946950864050282,0.2703633612868677,0.008422123543856037,0.0029190100722527035,-0.06173878186012003
all,5,overlapping,0,majority_baseline,384686,0.3333333333333333,0.20269959782830904,0.0,0.0,0.0,,,
all,5,overlapping,0,ridge_current,384686,0.3534908724749677,0.32683295650682276,0.37602870021918033,0.24370975415273488,0.251436236307014,0.0037013286740560122,0.00248522339295143,-0.041681809523319964
all,5,overlapping,1,logistic_global,66607,0.3891063694744205,0.3466175888256715,0.3738417070475219,0.364710760937176,0.35320611947693187,0.0115790611412421,0.008449630875514536,-0.053585072115114186
all,5,overlapping,1,logistic_regime_prior,66607,0.39228396156505446,0.3475257582091172,0.3822414726583649,0.3513166079203815,0.33275781824733136,0.008988609559719522,0.006695187165775329,-0.053427918494636274
all,5,overlapping,1,majority_baseline,66607,0.3333333333333333,0.20714800671958164,0.0,0.0,0.0,,,
all,5,overlapping,1,ridge_current,66607,0.3544757371233671,0.35248843898824966,0.3685641704533257,0.42716151772755545,0.419610551443542,0.0031903625172842376,0.0029353607359381417,-0.04130628625452589
all,5,overlapping,2,logistic_global,74196,0.3990493261893004,0.35954190429656774,0.40269156825048064,0.2569846110702142,0.24536363146261253,0.008940830763198586,0.00394836976377122,-0.056654829992023606
all,5,overlapping,2,logistic_regime_prior,74196,0.3978627042705822,0.3606560432868617,0.4126795550275408,0.26788656360640795,0.2495821877190145,0.007401205571993895,0.0030055255221114185,-0.0574796827809509
all,5,overlapping,2,majority_baseline,74196,0.3333333333333333,0.20034190612665612,0.0,0.0,0.0,,,
all,5,overlapping,2,ridge_current,74196,0.3424273683650114,0.3372698139203567,0.35597698700191777,0.29281032004767416,0.3162569410749906,0.006071999820249149,0.004060913705583813,-0.03998943440585122
all,5,overlapping,3,logistic_global,78662,0.40666509209783813,0.364519432498779,0.4602552619793999,0.253851616289481,0.22709821769087996,0.0006780069107035872,-0.0033487112461190183,-0.06410443657971067
all,5,overlapping,3,logistic_regime_prior,78662,0.39954835629222735,0.35834754656322715,0.4555178518737091,0.19065114699434993,0.17233225699829652,0.002516036616372923,-0.0029612208963810116,-0.06264539545058583
all,5,overlapping,3,majority_baseline,78662,0.3333333333333333,0.1992667724320695,0.0,0.0,0.0,,,
all,5,overlapping,3,ridge_current,78662,0.35608476257437544,0.3223775943309608,0.4141404358353511,0.26404026058229646,0.2625155729577178,-0.0014329672532033442,-0.0009376195698300727,-0.04274378018250877
all,5,overlapping,4,logistic_global,81443,0.39806529984850547,0.32882542204468546,0.43480973175296317,0.27214160213444394,0.2361897277850767,0.007983318547513028,0.0012312998654461227,-0.06358034310560974
all,5,overlapping,4,logistic_regime_prior,81443,0.39728998479365923,0.3224685015997109,0.4353585869333901,0.2662523589509989,0.23078717630735607,0.008268378936027864,0.0015529649333884121,-0.06534870609653741
all,5,overlapping,4,majority_baseline,81443,0.3333333333333333,0.20252464808799223,0.0,0.0,0.0,,,
all,5,overlapping,4,ridge_current,81443,0.3517817319674821,0.2959541758551974,0.35653303637713435,0.18751220147068393,0.1984700956497182,0.005638712478662276,0.003861008976086544,-0.03880816471908324
all,5,overlapping,5,logistic_global,83778,0.40795930816737735,0.3607977313851809,0.425476719897581,0.37727788731552847,0.3542934899376925,0.01324784522452805,0.004706385763547982,-0.06658601086236568
all,5,overlapping,5,logistic_regime_prior,83778,0.41268084014898054,0.3624361891581891,0.43614994672435503,0.4035370735496206,0.36967939077084677,0.011305545486481217,0.0026914861879403507,-0.06764526801169994
all,5,overlapping,5,majority_baseline,83778,0.3333333333333333,0.2045681443361519,0.0,0.0,0.0,,,
all,5,overlapping,5,ridge_current,83778,0.3785768119113379,0.2862383003376898,0.4004237288135593,0.10163111668757842,0.10141087158920002,0.007627945170106215,0.0018512309473278643,-0.05047735830796729
all,5,non_overlapping,0,logistic_global,77175,0.40555232015545717,0.360146896611,0.4216486337795709,0.3088418012693509,0.28263038548752834,0.008777761802808903,0.0031593280271466906,-0.061321447369022605
all,5,non_overlapping,0,logistic_regime_prior,77175,0.4059001986352068,0.36130330844575437,0.4229387291981846,0.30041304274824543,0.27407839326206673,0.008684648642193527,0.002999862341069859,-0.06089051061429624
all,5,non_overlapping,0,majority_baseline,77175,0.3333333333333333,0.20354534598328142,0.0,0.0,0.0,,,
all,5,non_overlapping,0,ridge_current,77175,0.35500849616390523,0.32932126173768556,0.37771725424925606,0.2514859464723463,0.25690962099125364,0.003549306816322105,0.002186370155767392,-0.04185238797660658
all,5,non_overlapping,1,logistic_global,13365,0.38459647812432607,0.344090452166353,0.3734866828087167,0.3734866828087167,0.3708193041526375,0.012054929672484758,0.007897266867264108,-0.05217556089023897
all,5,non_overlapping,1,logistic_regime_prior,13365,0.3859827908676506,0.34339873751318223,0.38004507273099775,0.3742937853107345,0.36520763187429856,0.0102064744930889,0.006705882352941117,-0.04980287419234808
all,5,non_overlapping,1,majority_baseline,13365,0.3333333333333333,0.20352080950895798,0.0,0.0,0.0,,,
all,5,non_overlapping,1,ridge_current,13365,0.3516644388499605,0.3491337565421251,0.3709097138941237,0.4368442292171106,0.43673774784885894,0.0033634226894718035,0.0019273865541751256,-0.04080503857580029
all,5,non_overlapping,2,logistic_global,14889,0.40506954216525565,0.366712393977284,0.41885093989939104,0.27633187772925766,0.2536772113640943,0.007049210737056414,0.0024375499697744107,-0.05816149167173458
all,5,non_overlapping,2,logistic_regime_prior,14889,0.4020776263594954,0.36376468563361736,0.4192665571975917,0.26759825327510917,0.2454160789844852,0.007351420719239854,0.0024060687978203488,-0.057909913351936446
all,5,non_overlapping,2,majority_baseline,14889,0.3333333333333333,0.20059163262431326,0.0,0.0,0.0,,,
all,5,non_overlapping,2,ridge_current,14889,0.34546469216355064,0.3408652420912914,0.36430921052631576,0.30951965065502185,0.32668412922291623,0.005105062558523165,0.0034096631584014103,-0.04063134633912392
all,5,non_overlapping,3,logistic_global,15779,0.4192515400210917,0.37406580365722847,0.465394474508687,0.2592827673754364,0.22251093225172697,-0.00108950180080084,-0.0035211267605633756,-0.06557249793250326
all,5,non_overlapping,3,logistic_regime_prior,15779,0.4163775395875446,0.371853243685963,0.46018376722817766,0.19073310060298318,0.16553647252677609,-0.0006531688462459824,-0.0035330076779594988,-0.06518365327440763
all,5,non_overlapping,3,majority_baseline,15779,0.3333333333333333,0.20591885302147664,0.0,0.0,0.0,,,
all,5,non_overlapping,3,ridge_current,15779,0.36246738492864544,0.3288740889604508,0.41934715272813916,0.27927642018406856,0.2659864376703213,-0.0019130878131446882,-0.0010849909584086381,-0.04382585559036002
all,5,non_overlapping,4,logistic_global,16337,0.40356486524475504,0.3349331844893257,0.4302477183833116,0.2721873968987133,0.23474322090959174,0.009454356371850294,0.001777777777777656,-0.0648521142527003
all,5,non_overlapping,4,logistic_regime_prior,16337,0.396489199333469,0.3198519300291848,0.4152475766308619,0.26146486308149125,0.23364142743465752,0.01267022124118604,0.004778156996587013,-0.06463911239224392
all,5,non_overlapping,4,majority_baseline,16337,0.3333333333333333,0.20407180881186995,0.0,0.0,0.0,,,
all,5,non_overlapping,4,ridge_current,16337,0.34789973452046463,0.293344223434941,0.3399938518290809,0.18244803695150116,0.19911856522005264,0.006827358482354926,0.004929679570828016,-0.039388498648635244
all,5,non_overlapping,5,logistic_global,16805,0.40757224537814896,0.364080430462076,0.43258328972614685,0.36828036828036825,0.3411484677179411,0.0126738573467185,0.0031180060064655013,-0.06634440568582427
all,5,non_overlapping,5,logistic_regime_prior,16805,0.4173456108061501,0.36941152727740767,0.4479638009049774,0.41164241164241167,0.3682237429336507,0.009754627879701933,0.0005495542420606014,-0.06727185420795405
all,5,non_overlapping,5,majority_baseline,16805,0.3333333333333333,0.20341272466644614,0.0,0.0,0.0,,,
all,5,non_overlapping,5,ridge_current,16805,0.3833457286054684,0.2917553072979932,0.40930787589498807,0.10187110187110188,0.09973222255281167,0.006997980986147048,0.0,-0.04888395920941655
semiconductor,5,overlapping,0,logistic_global,84382,0.37317780785016114,0.35886986873540483,0.41493219564223677,0.401060382916053,0.3888862553625181,0.009763642255764699,0.004366971827211907,-0.06069745036553175
semiconductor,5,overlapping,0,logistic_regime_prior,84382,0.37931996676273144,0.3588290988907699,0.42047118751989815,0.38901325478645066,0.37223578488303194,0.008649923281787923,0.0035879108899613543,-0.06181087880939475
semiconductor,5,overlapping,0,majority_baseline,84382,0.3333333333333333,0.20803643735698718,0.0,0.0,0.0,,,
semiconductor,5,overlapping,0,ridge_current,84382,0.34547224927997094,0.3256404571010927,0.40226669195751136,0.24986745213549338,0.24991111848498496,0.003936603772472996,0.0015572621851288604,-0.048011137374548145
semiconductor,5,overlapping,1,logistic_global,15177,0.362287665009178,0.34442207237637734,0.3615749961697564,0.4343025395656975,0.4300586413652237,0.01295442681997084,0.009561262026688944,-0.04804274297460123
semiconductor,5,overlapping,1,logistic_regime_prior,15177,0.38369795599755,0.355342639745587,0.37783333333333335,0.4171880750828119,0.39533504645186796,0.008836938550133712,0.006959505899421403,-0.04931424240379222
semiconductor,5,overlapping,1,majority_baseline,15177,0.3333333333333333,0.21387869566514514,0.0,0.0,0.0,,,
semiconductor,5,overlapping,1,ridge_current,15177,0.35807849675672393,0.35145095354425476,0.38106336489439185,0.4814133235185867,0.4523291823153456,0.0034859598576106755,0.0020058077208080505,-0.04367078690293614
semiconductor,5,overlapping,2,logistic_global,16269,0.38827938336135065,0.3708608771961597,0.4145164673799035,0.3034398034398034,0.29301124838650194,0.0033180767732863994,0.0023904271777515085,-0.05564873907003204
semiconductor,5,overlapping,2,logistic_regime_prior,16269,0.3887532657680324,0.36618095097044884,0.4178802588996764,0.31726044226044225,0.3038908353309976,0.002026860155032708,0.0022818988413408903,-0.055683382425156594
semiconductor,5,overlapping,2,majority_baseline,16269,0.3333333333333333,0.20328120994616763,0.0,0.0,0.0,,,
semiconductor,5,overlapping,2,ridge_current,16269,0.34474621164960295,0.33831063324893784,0.3842739378566899,0.27917690417690416,0.29079845104185875,0.00592341157237199,0.003454231433505983,-0.045528406649355466
semiconductor,5,overlapping,3,logistic_global,17025,0.36411317158418927,0.3491748108017397,0.4459023445902345,0.2825020441537204,0.2730690161527166,0.0026311775252535123,-0.0021739130434783593,-0.057880951370536476
semiconductor,5,overlapping,3,logistic_regime_prior,17025,0.3641929870218618,0.3391557654083266,0.44676470588235295,0.20700463341509948,0.19970631424375918,0.003140694693293994,-0.003133813361921367,-0.05757237313259464
semiconductor,5,overlapping,3,majority_baseline,17025,0.3333333333333333,0.19949235096384718,0.0,0.0,0.0,,,
semiconductor,5,overlapping,3,ridge_current,17025,0.34231282870534324,0.30788256827181953,0.43480416460089244,0.23902970836740256,0.23694566813509546,0.0003153778945831832,-0.0012938532054868612,-0.0473960427805193
semiconductor,5,overlapping,4,logistic_global,17823,0.38413842698938866,0.3592922835903258,0.46408484653704,0.38399149049328546,0.3491555854794367,-0.0007067102451516733,-0.0034818941504177747,-0.06532614981360992
semiconductor,5,overlapping,4,logistic_regime_prior,17823,0.3835336306535048,0.3464413257554571,0.4619750283768445,0.37880600983911716,0.3460135779610615,-0.00030844767167285416,-0.0029243652798085495,-0.06663459463359087
semiconductor,5,overlapping,4,majority_baseline,17823,0.3333333333333333,0.20259855230953497,0.0,0.0,0.0,,,
semiconductor,5,overlapping,4,ridge_current,17823,0.3585972142462442,0.3011726733956049,0.4395104895104895,0.16713203031511767,0.16046681254558717,-0.003784006850698941,-0.00166633735184607,-0.053573386336266876
semiconductor,5,overlapping,5,logistic_global,18088,0.36928762308649943,0.3441498466967721,0.4055779885435252,0.6044786564030791,0.5887328615656789,0.01992568488415701,0.00933875583672239,-0.06923853300696228
semiconductor,5,overlapping,5,logistic_regime_prior,18088,0.38121068026723776,0.3435805723215785,0.4134324249931186,0.6306508047585724,0.6025541795665634,0.018338884045112542,0.00816695767703246,-0.07006275736436234
semiconductor,5,overlapping,5,majority_baseline,18088,0.3333333333333333,0.22016514237049653,0.0,0.0,0.0,,,
semiconductor,5,overlapping,5,ridge_current,18088,0.3608528952143557,0.29753691092066537,0.3995381062355658,0.14527641707487754,0.1436311366651924,0.015631389895601144,0.005487992132890751,-0.058833140688751256
semiconductor,5,non_overlapping,0,logistic_global,16928,0.3767278795663987,0.364404453336316,0.42876754118364857,0.4131393298059965,0.3872873345935728,0.008409670491238232,0.0024189766121789358,-0.06154197699963184
semiconductor,5,non_overlapping,0,logistic_regime_prior,16928,0.3769747695005503,0.3587790386279803,0.4241950609565489,0.39888300999412113,0.37795368620037806,0.008825793377895476,0.003181247243623342,-0.06092201652591155
semiconductor,5,non_overlapping,0,majority_baseline,16928,0.3333333333333333,0.20839762852269958,0.0,0.0,0.0,,,
semiconductor,5,non_overlapping,0,ridge_current,16928,0.3463214238644025,0.32916608495230665,0.4164914739546835,0.2620517342739565,0.2528946124763705,0.003007293022793578,-4.560587403668048e-05,-0.04814832426301526
semiconductor,5,non_overlapping,1,logistic_global,3045,0.34557012427000994,0.33185820175655295,0.3705062362435803,0.4395126196692776,0.44761904761904764,0.013875234174379402,0.007670569236980285,-0.04732780822238524
semiconductor,5,non_overlapping,1,logistic_regime_prior,3045,0.3611603140036528,0.3356811504912976,0.38288288288288286,0.44386422976501305,0.4374384236453202,0.011077438439946519,0.0065089760783483275,-0.046177148892069315
semiconductor,5,non_overlapping,1,majority_baseline,3045,0.3333333333333333,0.20801325500828438,0.0,0.0,0.0,,,
