scope_type,scope_name,case_count,matched_pair_count,unmatched_case_count,match_rate,unmatched_reason_count
overall,all,9405,8199,1206,0.8717703349282296,1206
fold,1,1616,1179,437,0.7295792079207921,0
fold,2,1078,928,150,0.8608534322820037,0
fold,3,1813,1704,109,0.9398786541643684,0
fold,4,1490,1348,142,0.9046979865771813,0
fold,5,3408,3040,368,0.892018779342723,0
group,other,2508,2200,308,0.8771929824561403,0
group,semiconductor,2496,2094,402,0.8389423076923077,0
group,software,4401,3905,496,0.8872983412860713,0
regime,acute_selloff,1152,623,529,0.5407986111111112,0
regime,correction,2348,2165,183,0.92206132879046,0
regime,range_bound,810,476,334,0.5876543209876544,0
regime,under_pressure,1943,1840,103,0.9469891919711786,0
regime,uptrend,3152,3095,57,0.9819162436548223,0
