feature,feature_type,provenance,pair_count,case_available_count,control_available_count,both_available_count,case_availability,control_availability,case_median,control_median,paired_mean_difference,paired_median_difference,standardized_difference,ci_low,ci_high,raw_p_value,adjusted_p_value,consistent_folds,consistent_large_groups,status,gate_reasons,gate_passed
atr20_pct,numeric,observation_date_causal,8199,8164,8137,8106,0.9957311867300891,0.9924381022075863,9.196084651659259,9.05121916236374,0.2965266923994228,0.23041565369324246,0.03665503732975016,-0.13607070492448625,0.7651985926586706,0.171,0.36830769230769234,3,3,available,"('effect_size_below_gate', 'confidence_interval_crosses_zero', 'fold_stability_below_gate')",False
close_vs_ema20_pct,numeric,observation_date_causal,8199,8199,8199,8199,1.0,1.0,-3.1247443927447307,-0.4089747805673767,-2.815800565770759,-3.0197042962207377,-0.12856479210018887,-4.1034502636608545,-1.4428619567063226,0.0,0.0,5,3,available,"('effect_size_below_gate',)",False
close_vs_sma200_pct,numeric,observation_date_causal,8199,7395,7300,6698,0.9019392608854738,0.8903524820100012,-4.579481069232656,1.6699457734521062,-8.050218577498892,-7.1256503944971925,-0.07938907396240127,-13.604179063334401,-2.5534452648111725,0.005,0.02,5,3,available,"('control_availability_below_gate', 'effect_size_below_gate')",False
close_vs_sma50_pct,numeric,observation_date_causal,8199,8017,8005,7845,0.9778021709964629,0.9763385778753506,-4.531422691413539,-1.214710055310647,-4.365884048558631,-5.034972214708546,-0.10342097991652842,-6.622708799563061,-1.8575033124267377,0.003,0.016800000000000002,4,3,available,"('effect_size_below_gate',)",False
dollar_volume_ratio_20,numeric,observation_date_causal,8199,8157,8129,8093,0.9948774240761068,0.9914623734601781,1.0115068760600847,1.0488974113135188,-0.4565577514144023,-0.03827026561765823,-0.01415771816410951,-1.462708884157586,0.21892195340354303,0.261,0.43811764705882356,3,3,available,"('effect_size_below_gate', 'confidence_interval_crosses_zero', 'fold_stability_below_gate')",False
higher_low_confirmed,boolean,observation_date_causal,8199,8199,8199,8199,1.0,1.0,0.0,0.0,-0.0018294914013904135,0.0,-0.007506406607121787,-0.007396115571858684,0.0034881343489458717,0.47,0.5721739130434783,4,3,available,"('effect_size_below_gate', 'confidence_interval_crosses_zero')",False
log_dollar_volume_20,numeric,observation_date_causal,8199,8157,8129,8093,0.9948774240761068,0.9914623734601781,18.41532332356957,18.4870494486568,-0.06302750928544004,-0.0880375985537789,-0.019516566004753363,-0.24133389512592543,0.11459671124188579,0.465,0.5721739130434783,3,2,available,"('effect_size_below_gate', 'confidence_interval_crosses_zero', 'fold_stability_below_gate')",False
mom_12_1,numeric,observation_date_causal,8199,7169,7054,6322,0.8743749237711916,0.8603488230271984,0.20329387545033462,0.19700718350592406,0.5175452781856918,-0.012558520897799796,0.03442298657785546,-0.12521792157562972,1.4289620171497455,0.146,0.36400000000000005,2,1,available,"('case_availability_below_gate', 'control_availability_below_gate', 'effect_size_below_gate', 'confidence_interval_crosses_zero', 'fold_stability_below_gate', 'group_stability_below_gate')",False
mom_3_1,numeric,observation_date_causal,8199,7963,7899,7704,0.9712160019514575,0.9634101719721917,0.0032482179915185316,0.009214932686040456,-0.026945301010159187,-0.007315411901583524,-0.023354345300396383,-0.10408427413599519,0.04254043899634341,0.454,0.5721739130434783,3,1,available,"('effect_size_below_gate', 'confidence_interval_crosses_zero', 'fold_stability_below_gate', 'group_stability_below_gate')",False
mom_6_1,numeric,observation_date_causal,8199,7728,7550,7188,0.942553969996341,0.9208440053665081,0.06666666666666665,0.07926730857538622,0.20131505500330896,0.0010812676671121957,0.03446270754928856,-0.09893234070414199,0.712980535305776,0.334,0.5113684210526316,2,2,available,"('effect_size_below_gate', 'confidence_interval_crosses_zero', 'fold_stability_below_gate')",False
opening_gap,numeric,observation_date_causal,8199,8192,8197,8190,0.9991462373460178,0.999756067813148,0.0,0.0007039774727208847,-0.00041619292724058007,-0.0008430168931460313,-0.004460500733710807,-0.0029826077112168775,0.002666312261982956,0.785,0.8453846153846154,3,3,available,"('effect_size_below_gate', 'confidence_interval_crosses_zero', 'fold_stability_below_gate')",False
pivot_distance_pct,numeric,observation_date_causal,8199,8164,8137,8106,0.9957311867300891,0.9924381022075863,-17.7279022916142,-15.227342081171813,-2.862543473650936,-3.0569377248034613,-0.14594165822895297,-3.856819323203094,-1.7590061885605617,0.0,0.0,5,3,available,"('effect_size_below_gate',)",False
pressure_close_location,numeric,observation_date_causal,8199,8136,8153,8102,0.9923161361141603,0.9943895597024027,-0.08571428571428444,-0.015985790408528856,-0.04417603533920875,-0.04637167366946551,-0.053551366130680816,-0.07380556519861145,-0.0129870653155994,0.005,0.02,5,3,available,"('effect_size_below_gate',)",False
pressure_distribution_day,boolean,observation_date_causal,8199,8199,8199,8199,1.0,1.0,0.0,0.0,0.006586169045005488,0.0,0.016762198857302433,-0.003589513109915318,0.01794188419928969,0.206,0.38453333333333334,4,3,available,"('effect_size_below_gate', 'confidence_interval_crosses_zero')",False
pressure_failed_breakout,boolean,observation_date_causal,8199,8199,8199,8199,1.0,1.0,0.0,0.0,-0.009269423100378095,0.0,-0.024607168002273912,-0.021174512401463782,0.002521194674091512,0.127,0.3556,5,3,available,"('effect_size_below_gate', 'confidence_interval_crosses_zero')",False
pressure_signed_volume_proxy,numeric,observation_date_causal,8199,8101,8091,8009,0.9880473228442493,0.986827661909989,-0.06900318368337081,-0.008845706738883395,-0.05079640010310126,-0.059032308244868936,-0.014562452037673812,-0.14768455563539365,0.0397529882471416,0.266,0.43811764705882356,4,2,available,"('effect_size_below_gate', 'confidence_interval_crosses_zero')",False
pressure_upper_wick_ratio,numeric,observation_date_causal,8199,8136,8153,8102,0.9923161361141603,0.9943895597024027,0.22222222222222182,0.2207958921694479,-0.0028942945394242127,0.0,-0.009823028856105491,-0.015439517694577099,0.008934231114237605,0.636,0.71232,3,1,available,"('effect_size_below_gate', 'confidence_interval_crosses_zero', 'fold_stability_below_gate', 'group_stability_below_gate')",False
prior_high_breakout,boolean,observation_date_causal,8199,8199,8199,8199,1.0,1.0,0.0,0.0,-0.012928405903158921,0.0,-0.04076331349268019,-0.020328740629106477,-0.005621018522605244,0.007,0.0245,4,3,available,"('effect_size_below_gate',)",False
qqq_trend_state,numeric,observation_date_causal,8199,8199,8199,8199,1.0,1.0,0.0,0.0,-0.0225637272838151,0.0,-0.05454600406930117,-0.06568820871112137,0.025343681570722743,0.347,0.5113684210526316,4,2,available,"('effect_size_below_gate', 'confidence_interval_crosses_zero')",False
realized_vol_63,numeric,observation_date_causal,8199,8065,8044,7925,0.9836565434809124,0.9810952555189657,0.9708386972252502,0.9868046172647285,-0.0006499842287819398,-0.0011184486959335826,-0.0007669625648895672,-0.03132129111109186,0.037245302614283625,0.947,0.951,4,2,available,"('effect_size_below_gate', 'confidence_interval_crosses_zero')",False
